Fred Herzog Photography Style,hrrzg,https://civitai.com/api/download/models/95
WikiHow Model,in WKHW1 Beautiful Art Style,https://civitai.com/api/download/models/11
Art of Magic the Gathering,Mtg art,https://civitai.com/api/download/models/1016
Technicolor-50s-Diffusion,tchnclr style,https://civitai.com/api/download/models/996
Persona 5 Shigenori style,Shigenori Style,https://civitai.com/api/download/models/1024
Nitro-Diffusion,archer style arcane style modern disney style,https://civitai.com/api/download/models/977
Complex Lineart,ComplexLA style,https://civitai.com/api/download/models/74
YoShin Diffusion,yoshin style,https://civitai.com/api/download/models/994
BalloonArt Model,BalloonArt,https://civitai.com/api/download/models/983
RPG,FANTASY BALDUR’S GATE,https://civitai.com/api/download/models/1124
Clone Diffusion,clonewars style,https://civitai.com/api/download/models/1034
Transformers Model,TransX,https://civitai.com/api/download/models/109
Jak's Zombie Vector Pack,zombie_vector,https://civitai.com/api/download/models/1052
Macro Bug,Macro_Bug,https://civitai.com/api/download/models/1051
dbluth,dbluth,https://civitai.com/api/download/models/1053
Bloodborne Diffusion,Bloodborne Style,https://civitai.com/api/download/models/971
FluidArt Model,FluidArt,https://civitai.com/api/download/models/988
Caricaturizer,pcrc style,https://civitai.com/api/download/models/1097
Voxelart Diffusion,VoxelArt,https://civitai.com/api/download/models/111
